0.05,0.003,0.006,0.011,0.005
0.15,0.015,0.015,0.015,0.026
0.25,0.018,0.021,0.031,0.046
0.35,0.028,0.036,0.044,0.062
0.45,0.036,0.041,0.056,0.079
0.55,0.044,0.051,0.067,0.101
0.65,0.051,0.062,0.08,0.113
0.75,0.06,0.067,0.093,0.136
0.85,0.064,0.08,0.102,0.154
0.95,0.075,0.087,0.116,0.17
1.05,0.079,0.095,0.126,0.191
1.15,0.088,0.106,0.142,0.205
1.25,0.097,0.113,0.149,0.221
1.35,0.103,0.123,0.164,0.242
1.45,0.113,0.134,0.18,0.257
1.55,0.119,0.139,0.186,0.278
1.65,0.123,0.152,0.205,0.293
1.75,0.134,0.159,0.211,0.314
1.85,0.144,0.167,0.227,0.329
1.95,0.149,0.18,0.239,0.345
2.05,0.155,0.185,0.249,0.365
2.15,0.164,0.196,0.265,0.384
2.25,0.17,0.203,0.275,0.398
2.35,0.18,0.214,0.289,0.417
2.45,0.185,0.223,0.298,0.432
2.55,0.196,0.232,0.311,0.448
2.65,0.2,0.242,0.322,0.468
2.75,0.209,0.249,0.334,0.478
2.85,0.216,0.257,0.347,0.496
2.95,0.223,0.268,0.358,0.512
3.05,0.232,0.278,0.37,0.525
3.15,0.239,0.285,0.381,0.54
3.25,0.247,0.296,0.391,0.553
